phecode	phenotype	category
350.5	Abnormal reflex	neurological
350.6	Disturbances of sensation of smell and taste	neurological
351	Other peripheral nerve disorders	neurological
352	Disorders of other cranial nerves	neurological
352.1	Trigeminal nerve disorders [CN5]	neurological
352.2	Facial nerve disorders [CN7]	neurological
353	Nerve root and plexus disorders	neurological
353.1	Nerve plexus lesions	neurological
353.2	Nerve root lesions	neurological
355	Complex regional/central pain syndrome	neurological
355.1	Chronic pain syndrome	neurological
356	Hereditary and idiopathic peripheral neuropathy	neurological
357	Inflammatory and toxic neuropathy	neurological
358	Myoneural disorders	neurological
358.1	Myasthenia gravis	neurological
359	Muscular dystrophies and other myopathies	neurological
359.1	Muscular dystrophies	neurological
359.2	Myopathy	neurological
360	Disorders of the globe	sense organs
360.2	Progressive myopia	sense organs
360.3	Hypotony of eye	sense organs
361	Retinal detachments and defects	sense organs
361.1	Retinal detachment with retinal defect	sense organs
361.2	Retinoschisis and retinal cysts	sense organs
362	Other retinal disorders	sense organs
362.1	Retinopathy of prematurity	sense organs
362.2	Degeneration of macula and posterior pole of retina	sense organs
362.21	"Macular degeneration, dry"	sense organs
362.22	"Macular degeneration, wet"	sense organs
362.23	Cystoid macular degeneration of retina	sense organs
362.26	Macular puckering of retina	sense organs
362.27	Drusen (degenerative) of retina	sense organs
362.29	Macular degeneration (senile) of retina NOS	sense organs
362.3	Other nondiabetic retinopathy	sense organs
362.31	Separation of retinal layers	sense organs
362.4	Retinal vascular changes and abnomalities	sense organs
362.5	Toxic maculopathy of retina	sense organs
362.6	Peripheral retinal degenerations	sense organs
362.7	Hereditary retinal dystrophies	sense organs
362.8	Retinal hemorrhage/ischemia	sense organs
362.9	Retinal edema	sense organs
363	"Chorioretinal inflammations, scars, and other disorders of choroid"	sense organs
363.3	Chorioretinal scars	sense organs
363.4	Choroidal degenerations	sense organs
364	Corneal opacity and other disorders of cornea	sense organs
364.1	Corneal opacity	sense organs
364.2	Corneal edema	sense organs
364.4	Corneal degenerations	sense organs
364.41	Keratoconus	sense organs
364.5	Corneal dystrophy	sense organs
364.51	Fuchs' dystrophy	sense organs
364.9	Cornea replaced by transplant	sense organs
365	Glaucoma	sense organs
365.1	Open-angle glaucoma	sense organs
365.11	Primary open angle glaucoma	sense organs
365.2	Primary angle-closure glaucoma	sense organs
365.5	Pseudoexfoliation glaucoma	sense organs
366	Cataract	sense organs
366.1	Nonsenile Cataract	sense organs
366.2	Senile cataract	sense organs
366.3	Traumatic cataract	sense organs
367	Disorders of refraction and accommodation; blindness and low vision	sense organs
367.1	Myopia	sense organs
367.2	Astigmatism	sense organs
367.4	Presbyopia	sense organs
367.8	Hypermetropia	sense organs
367.9	Blindness and low vision	sense organs
368	Visual disturbances	sense organs
368.1	Amblyopia	sense organs
368.2	Diplopia and disorders of binocular vision	sense organs
368.3	Anisometropia	sense organs
368.4	Visual field defects	sense organs
368.5	Color vision deficiencies	sense organs
368.7	Disorders of accommodation	sense organs
368.9	Subjective visual disturbances	sense organs
368.91	Psychophysical visual disturbances	sense organs
369	Infection of the eye	sense organs
369.2	"Eye infection, viral"	sense organs
369.5	"Conjunctivitis, infectious"	sense organs
370	Keratitis	sense organs
370.1	Corneal ulcer	sense organs
370.2	Superficial keratitis	sense organs
370.3	Keratoconjunctivitis	sense organs
370.31	Keratoconjunctivitis sicca	sense organs
371	Inflammation of the eye	sense organs
371.1	"Uveitis, noninfectious or NOS"	sense organs
371.2	"Conjunctivitis, noninfectious"	sense organs
371.21	Allergic conjunctivitis	sense organs
371.3	Inflammation of eyelids	sense organs
371.33	Noninfectious dermatoses of eyelid	sense organs
371.9	Chronic inflammatory disorders of orbit	sense organs
372	Disorders of conjunctiva	sense organs
374	Other disorders of eyelids	sense organs
374.1	Ectropion or entropion	sense organs
374.2	Lagophthalmos	sense organs
374.3	Ptosis of eyelid	sense organs
374.6	Dermatochalasis	sense organs
375	Disorders of lacrimal system	sense organs
375.1	Dry eyes	sense organs
375.2	Epiphora	sense organs
376	Disorders of the orbit	sense organs
377	Disorders of optic nerve and visual pathways	sense organs
377.1	Optic atrophy	sense organs
377.3	Optic neuritis/neuropathy	sense organs
378	Strabismus and other disorders of binocular eye movements	sense organs
378.1	Strabismus (not specified as paralytic)	sense organs
378.2	Nystagmus and other irregular eye movements	sense organs
378.5	Paralytic strabismus	sense organs
379	Other disorders of eye	sense organs
379.1	Scleritis and episcleritis	sense organs
379.2	Disorders of vitreous body	sense organs
379.3	Aphakia and other disorders of lens	sense organs
379.4	Anomalies of pupillary function	sense organs
379.5	Disorders of iris and ciliary body	sense organs
379.51	Pigmentary iris degeneration	sense organs
379.9	"Pain, swelling or discharge of eye"	sense organs
380	Disorders of external ear	sense organs
380.1	Otitis externa	sense organs
380.4	Impacted cerumen	sense organs
381	Otitis media and Eustachian tube disorders	sense organs
381.1	Otitis media	sense organs
381.11	Suppurative and unspecified otitis media	sense organs
381.2	Eustachian tube disorders	sense organs
381.3	Mastoiditis & related conditions	sense organs
381.9	Otorrhea	sense organs
382	Otalgia	sense organs
383	Otosclerosis	sense organs
384	Other disorders of tympanic membrane	sense organs
384.1	Myringitis	sense organs
384.4	Perforation of tympanic membrane	sense organs
385	Other disorders of middle ear and mastoid	sense organs
385.3	Cholesteatoma	sense organs
385.5	Tympanosclerosis and middle ear disease related to otitis media	sense organs
386	Vertiginous syndromes and other disorders of vestibular system	sense organs
386.1	Meniere's disease	sense organs
386.2	Peripheral or central vertigo	sense organs
386.21	Central origin vertigo	sense organs
386.3	Labyrinthitis	sense organs
386.9	Dizziness and giddiness (Light-headedness and vertigo)	sense organs
388	Other disorders of ear	sense organs
389	Hearing loss	sense organs
389.1	Sensorineural hearing loss	sense organs
389.2	Conductive hearing loss	sense organs
389.3	Degenerative and vascular disorders of ear	sense organs
389.4	Tinnitus	sense organs
389.5	Disorders of acoustic nerve	sense organs
394	Rheumatic disease of the heart valves	circulatory system
394.1	Mitral valve stenosis and aortic valve stenosis	circulatory system
394.2	Mitral valve disease	circulatory system
394.3	Aortic valve disease	circulatory system
394.4	Acute rheumatic heart disease	circulatory system
394.7	Disease of tricuspid valve	circulatory system
395	Heart valve disorders	circulatory system
395.1	Nonrheumatic mitral valve disorders	circulatory system
395.2	Nonrheumatic aortic valve disorders	circulatory system
395.3	Nonrheumatic tricuspid valve disorders	circulatory system
395.4	Nonrheumatic pulmonary valve disorders	circulatory system
395.6	Heart valve replaced	circulatory system
396	Abnormal heart sounds	circulatory system
401	Hypertension	circulatory system
401.1	Essential hypertension	circulatory system
401.2	Hypertensive heart and/or renal disease	circulatory system
401.21	Hypertensive heart disease	circulatory system
401.22	Hypertensive chronic kidney disease	circulatory system
401.3	Other hypertensive complications	circulatory system
402	Elevated blood pressure reading without diagnosis of hypertension	circulatory system
411	Ischemic Heart Disease	circulatory system
411.1	Unstable angina (intermediate coronary syndrome)	circulatory system
411.2	Myocardial infarction	circulatory system
411.3	Angina pectoris	circulatory system
411.4	Coronary atherosclerosis	circulatory system
411.41	Aneurysm and dissection of heart	circulatory system
411.8	"Other chronic ischemic heart disease, unspecified"	circulatory system
411.9	Other acute and subacute forms of ischemic heart disease	circulatory system
414	Other forms of chronic heart disease	circulatory system
414.2	ASCVD	circulatory system
415	Pulmonary heart disease	circulatory system
415.1	Acute pulmonary heart disease	circulatory system
415.11	"Pulmonary embolism and infarction, acute"	circulatory system
415.2	Chronic pulmonary heart disease	circulatory system
415.21	Primary pulmonary hypertension	circulatory system
416	Cardiomegaly	circulatory system
418	Nonspecific chest pain	circulatory system
418.1	Precordial pain	circulatory system
420	Carditis	circulatory system
420.1	Myocarditis	circulatory system
420.2	Pericarditis	circulatory system
420.21	Acute pericarditis	circulatory system
420.22	Chronic pericarditis	circulatory system
420.3	Endocarditis	circulatory system
425	Cardiomyopathy	circulatory system
425.1	Primary/intrinsic cardiomyopathies	circulatory system
425.11	Hypertrophic obstructive cardiomyopathy	circulatory system
425.12	Other hypertrophic cardiomyopathy	circulatory system
425.2	Secondary/extrinsic cardiomyopathies	circulatory system
425.8	Other cardiomyopathy	circulatory system
426	Cardiac conduction disorders	circulatory system
426.2	Atrioventricular [AV] block	circulatory system
426.21	First degree AV block	circulatory system
426.22	Mobitz II AV block	circulatory system
426.23	Second degree AV block	circulatory system
426.24	"Atrioventricular block, complete"	circulatory system
426.25	Other heart block	circulatory system
426.3	Bundle branch block	circulatory system
426.31	Right bundle branch block	circulatory system
426.32	Left bundle branch block	circulatory system
426.4	Anomalous atrioventricular excitation	circulatory system
426.7	Abnormal electrocardiogram [ECG] [EKG]	circulatory system
426.8	Other cardiac conduction disorders	circulatory system
426.9	Cardiac pacemaker/device in situ	circulatory system
426.91	Cardiac pacemaker in situ	circulatory system
426.92	Cardiac defibrillator in situ	circulatory system
427	Cardiac dysrhythmias	circulatory system
427.1	"Paroxysmal tachycardia, unspecified"	circulatory system
427.11	Paroxysmal supraventricular tachycardia	circulatory system
427.12	Paroxysmal ventricular tachycardia	circulatory system
427.2	Atrial fibrillation and flutter	circulatory system
427.21	Atrial fibrillation	circulatory system
427.22	Atrial flutter	circulatory system
427.3	Other specified cardiac dysrhythmias	circulatory system
427.4	Cardiac arrest and ventricular fibrillation	circulatory system
427.41	Ventricular fibrillation and flutter	circulatory system
427.42	Cardiac arrest	circulatory system
427.5	Arrhythmia (cardiac) NOS	circulatory system
427.6	Premature beats	circulatory system
427.61	Supraventricular premature beats	circulatory system
427.7	Tachycardia NOS	circulatory system
427.8	Sinoatrial node dysfunction (Bradycardia)	circulatory system
427.9	Palpitations	circulatory system
428	Congestive heart failure; nonhypertensive	circulatory system
428.1	Congestive heart failure (CHF) NOS	circulatory system
428.2	Heart failure NOS	circulatory system
428.3	Heart failure with reduced EF [Systolic or combined heart failure]	circulatory system
428.4	Heart failure with preserved EF [Diastolic heart failure]	circulatory system
429	Ill-defined descriptions and complications of heart disease	circulatory system
429.1	Heart transplant/surgery	circulatory system
429.2	Abnormal function study of cardiovascular system	circulatory system
429.3	Symptoms involving cardiovascular system	circulatory system
429.9	"Cardiac complications, not elsewhere classified"	circulatory system
430	Intracranial hemorrhage	circulatory system
430.1	Subarachnoid hemorrhage	circulatory system
430.2	Intracerebral hemorrhage	circulatory system
430.3	Subdural hemorrhage	circulatory system
433	Cerebrovascular disease	circulatory system
433.1	Occlusion and stenosis of precerebral arteries	circulatory system
433.11	"Occlusion of cerebral arteries, with cerebral infarction"	circulatory system
433.12	Cerebral atherosclerosis	circulatory system
433.2	Occlusion of cerebral arteries	circulatory system
433.21	"Cerebral artery occlusion, with cerebral infarction"	circulatory system
433.3	Cerebral ischemia	circulatory system
433.31	Transient cerebral ischemia	circulatory system
433.32	Moyamoya disease	circulatory system
433.5	Cerebral aneurysm	circulatory system
433.6	"Acute, but ill-defined cerebrovascular disease"	circulatory system
433.8	Late effects of cerebrovascular disease	circulatory system
440	Atherosclerosis	circulatory system
440.1	Atherosclerosis of renal artery	circulatory system
440.2	Atherosclerosis of the extremities	circulatory system
440.21	Atherosclerosis of native arteries of the extremities with ulceration or gangrene	circulatory system
440.22	Atherosclerosis of native arteries of the extremities with intermittent claudication	circulatory system
440.9	Atherosclerosis of aorta	circulatory system
441	Vascular insufficiency of intestine	circulatory system
441.1	Acute vascular insufficiency of intestine	circulatory system
441.2	Chronic vascular insufficiency of intestine	circulatory system
442	Other aneurysm	circulatory system
442.1	Aortic aneurysm	circulatory system
442.11	Abdominal aortic aneurysm	circulatory system
442.2	Aneurysm of iliac artery	circulatory system
442.3	Aneurysm of artery of lower extremity	circulatory system
442.4	Arterial dissection	circulatory system
442.8	Aneurysm of other specified artery	circulatory system
443	Peripheral vascular disease	circulatory system
443.1	Raynaud's syndrome	circulatory system
443.7	Peripheral angiopathy in diseases classified elsewhere	circulatory system
443.8	Other specified peripheral vascular diseases	circulatory system
443.9	"Peripheral vascular disease, unspecified"	circulatory system
444	Arterial embolism and thrombosis	circulatory system
444.1	Arterial embolism and thrombosis of lower extremity artery	circulatory system
444.2	Embolism and thrombosis of abdominal aorta	circulatory system
444.5	Atheroembolism	circulatory system
446	Polyarteritis nodosa and allied conditions	circulatory system
446.1	Thromboangiitis obliterans	circulatory system
446.2	Acute febrile mucocutaneous lymph node syndrome (Kawasaki disease)	circulatory system
446.3	Hypersensitivity angiitis	circulatory system
446.4	Wegener's granulomatosis	circulatory system
446.5	Giant cell arteritis	circulatory system
446.6	Polyarteritis nodosa	circulatory system
446.7	Takayasu's disease	circulatory system
446.8	Thrombotic microangiopathy	circulatory system
446.9	Arteritis NOS	circulatory system
447	Other disorders of arteries and arterioles	circulatory system
447.1	Stricture of artery	circulatory system
447.7	Aortic ectasia	circulatory system
448	Disease of capillaries	circulatory system
450	Noninfectious disorders of lymphatic channels	circulatory system
451	Phlebitis and thrombophlebitis	circulatory system
451.2	Phlebitis and thrombophlebitis of lower extremities	circulatory system
452	Other venous embolism and thrombosis	circulatory system
452.1	Iatrogenic pulmonary embolism and infarction	circulatory system
452.2	Deep vein thrombosis [DVT]	circulatory system
452.8	Postphlebitic syndrome	circulatory system
453	Chronic venous hypertension	circulatory system
454	Varicose veins	circulatory system
454.1	Varicose veins of lower extremity	circulatory system
454.11	"Varicose veins of lower extremity, symptomtic"	circulatory system
455	Hemorrhoids	circulatory system
456	Chronic venous insufficiency [CVI]	circulatory system
457	"Encounter for long-term (current) use of anticoagulants, antithrombotics, aspirin"	circulatory system
457.2	Encounter for long-term (current) use of antiplatelets/antithrombotics	circulatory system
457.3	Encounter for long-term (current) use of aspirin	circulatory system
458	Hypotension	circulatory system
458.1	Orthostatic hypotension	circulatory system
458.2	Iatrogenic hypotension	circulatory system
458.9	Hypotension NOS	circulatory system
459	Other disorders of circulatory system	circulatory system
459.1	Hemorrhage NOS	circulatory system
459.7	Blood vessel replaced	circulatory system
459.9	Circulatory disease NEC	circulatory system
464	Acute sinusitis	respiratory
465	Acute upper respiratory infections of multiple or unspecified sites	respiratory
465.2	Acute pharyngitis	respiratory
465.4	Acute laryngitis and tracheitis	respiratory
470	Septal Deviations/Turbinate Hypertrophy	respiratory
471	Nasal polyps	respiratory
472	Chronic pharyngitis and nasopharyngitis	respiratory
473	Diseases of the larynx and vocal cords	respiratory
473.1	Chronic laryngitis	respiratory
473.3	Paralysis/spasm of vocal cords or larynx	respiratory
473.4	Voice disturbance	respiratory
474	Acute and chronic tonsillitis	respiratory
474.1	Acute tonsillitis	respiratory
474.2	Chronic tonsillitis and adenoiditis	respiratory
475	Chronic sinusitis	respiratory
475.9	Postnasal drip	respiratory
476	Allergic rhinitis	respiratory
477	Epistaxis or throat hemorrhage	respiratory
478	Throat pain	respiratory
479	Other upper respiratory disease	respiratory
480	Pneumonia	respiratory
480.1	Bacterial pneumonia	respiratory
480.11	Pneumococcal pneumonia	respiratory
480.12	Pseudomonal pneumonia	respiratory
480.13	MRSA pneumonia	respiratory
480.2	Viral pneumonia	respiratory
480.3	Pneumonia due to fungus (mycoses)	respiratory
480.5	Bronchopneumonia and lung abscess	respiratory
481	Influenza	respiratory
483	Acute bronchitis and bronchiolitis	respiratory
495	Asthma	respiratory
495.1	Chronic obstructive asthma	respiratory
495.11	Chronic obstructive asthma with exacerbation	respiratory
495.2	Asthma with exacerbation	respiratory
496	Chronic airway obstruction	respiratory
496.1	Emphysema	respiratory
496.2	Chronic bronchitis	respiratory
496.21	Obstructive chronic bronchitis	respiratory
496.3	Bronchiectasis	respiratory
497	Bronchitis	respiratory
498	Acute bronchospasm	respiratory
499	Cystic fibrosis	respiratory
500	Lung disease due to external agents	respiratory
500.1	Extrinsic allergic alveolitis	respiratory
500.2	Pneumoconiosis	respiratory
501	Pneumonitis due to inhalation of food or vomitus	respiratory
502	Postinflammatory pulmonary fibrosis	respiratory
503	Pulmonary congestion and hypostasis	respiratory
504	Other alveolar and parietoalveolar pneumonopathy	respiratory
504.1	Idiopathic fibrosing alveolitis	respiratory
505	Other pulmonary inflamation or edema	respiratory
506	Empyema and pneumothorax	respiratory
507	Pleurisy; pleural effusion	respiratory
508	Pulmonary collapse; interstitial and compensatory emphysema	respiratory
509	"Respiratory failure, insufficiency, arrest"	respiratory
509.1	Respiratory failure	respiratory
509.2	Respiratory insufficiency	respiratory
509.3	Pulmonary insufficiency or respiratory failure following trauma and surgery	respiratory
509.5	Respiratory arrest	respiratory
509.8	Dependence on respirator [Ventilator] or supplemental oxygen	respiratory
510	Other diseases of lung	respiratory
510.2	Lung transplant	respiratory
512	Other symptoms of respiratory system	respiratory
512.1	Wheezing	respiratory
512.2	Painful respiration	respiratory
512.3	Abnormal chest sounds	respiratory
512.7	Shortness of breath	respiratory
512.8	Cough	respiratory
512.9	Other dyspnea	respiratory
513	Respiratory abnormalities	respiratory
513.3	Hypoventilation	respiratory
513.31	Apnea	respiratory
513.32	Orthopnea	respiratory
513.4	Hyperventilation	respiratory
513.8	Disorders of diaphragm	respiratory
514	Abnormal findings examination of lungs	respiratory
514.1	Abnormal results of function study of pulmonary system	respiratory
514.2	Solitary pulmonary nodule	respiratory
516	Abnormal sputum	respiratory
516.1	Hemoptysis	respiratory
519	"Other diseases of respiratory system, not elsewhere classified"	respiratory
519.1	Tracheostomy complications	respiratory
519.2	Respiratory complications	respiratory
519.8	"Other diseases of respiratory system, NEC"	respiratory
519.9	Symptoms involving respiratory system and other chest symptoms	respiratory
520	Disorders of tooth development	digestive
520.1	Hereditary disturbances in tooth structure	digestive
520.2	Disturbances in tooth eruption	digestive
521	Diseases of hard tissues of teeth	digestive
521.1	Dental caries	digestive
521.2	"Dental abrasion, erosion and attrition"	digestive
521.4	Tooth complications likely association with other diseases	digestive
522	Diseases of pulp and periapical tissues	digestive
522.1	Pulpitis and necrosis of tooth pulp	digestive
522.5	Periapical abscess	digestive
523	Gingival and periodontal diseases	digestive
523.1	Gingivitis	digestive
523.3	Periodontitis (acute or chronic)	digestive
523.31	Acute periodontitis	digestive
523.32	Chronic periodontitis	digestive
524	"Dentofacial anomalies, including malocclusion"	digestive
524.3	Anomalies of tooth position/malocclusion	digestive
525	Other diseases of the teeth and supporting structures	digestive
525.1	Loss of teeth or edentulism	digestive
525.2	Atrophy of edentulous alveolar ridge	digestive
526	Diseases of the jaws	digestive
526.1	Cysts of the jaws	digestive
526.3	Anomalies of jaw size/symmetry	digestive
526.4	Temporomandibular joint disorders	digestive
526.41	"Temporomandibular joint disorder, unspecified"	digestive
526.42	Arthralgia/ankylosis of temporomandibular joint	digestive
526.5	Inflammatory conditions of jaw	digestive
526.8	Exostosis of jaw	digestive
526.9	Jaw disease NOS	digestive
527	Diseases of the salivary glands	digestive
527.1	Hypertrophy of salivary gland	digestive
527.2	Sialoadenitis	digestive
527.7	Disturbance of salivary secretion	digestive
527.8	Other specified diseases of the salivary glands	digestive
528	"Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue"	digestive
528.1	Stomatitis and mucositis	digestive
528.11	Stomatitis and mucositis (ulcerative)	digestive
528.12	Oral aphthae	digestive
528.3	Cellulitis and abscess of oral soft tissues	digestive
528.4	Cysts of oral soft tissues	digestive
528.41	Cyst of the salivary gland	digestive
528.5	Diseases of lips	digestive
528.6	Leukoplakia of oral mucosa	digestive
528.7	Sialolithiasis	digestive
529	Diseases and other conditions of the tongue	digestive
529.1	Glossitis	digestive
529.6	Glossodynia	digestive
530	Diseases of esophagus	digestive
530.1	"Esophagitis, GERD and related diseases"	digestive
530.11	GERD	digestive
530.12	Ulcer of esophagus	digestive
530.13	Barrett's esophagus	digestive
530.14	Reflux esophagitis	digestive
530.15	Eosinophilic esophagitis	digestive
530.2	Esophageal bleeding (varices/hemorrhage)	digestive
530.3	Stricture and stenosis of esophagus	digestive
530.5	Disorders of esophageal motility	digestive
530.6	"Diverticulum of esophagus, acquired"	digestive
530.7	Gastroesophageal laceration-hemorrhage syndrome	digestive
530.9	Heartburn	digestive
531	Peptic ulcer (excl. esophageal)	digestive
531.1	Hemorrhage from gastrointestinal ulcer	digestive
531.2	Gastric ulcer	digestive
531.3	Duodenal ulcer	digestive
531.4	"Peptic ulcer, site unspecified"	digestive
531.5	Gastrojejunal ulcer	digestive
532	Dysphagia	digestive
535	Gastritis and duodenitis	digestive
535.1	Acute gastritis	digestive
535.2	Atrophic gastritis	digestive
535.6	Duodenitis	digestive
535.8	Other specified gastritis	digestive
535.9	"Gastritis and duodenitis, NOS"	digestive
536	Disorders of function of stomach	digestive
536.3	Gastroparesis	digestive
536.7	"Complications of gastrostomy, colostomy and enterostomy"	digestive
536.8	Dyspepsia and other specified disorders of function of stomach	digestive
537	Other disorders of stomach and duodenum	digestive
537.1	Lesions of stomach and duodenum	digestive
539	Bariatric surgery	digestive
540	Appendiceal conditions	digestive
540.1	Appendicitis	digestive
540.11	Acute appendicitis	digestive
550	Abdominal hernia	digestive
550.1	Inguinal hernia	digestive
550.2	Diaphragmatic hernia	digestive
550.3	Femoral hernia	digestive
550.4	Umbilical hernia	digestive
550.5	Ventral hernia	digestive
550.6	Incisional hernia	digestive
555	Inflammatory bowel disease and other gastroenteritis and colitis	digestive
555.1	Regional enteritis	digestive
555.2	Ulcerative colitis	digestive
555.21	Ulcerative colitis (chronic)	digestive
556	Ulceration of the lower GI tract	digestive
556.1	Ulceration of intestine	digestive
556.11	Angiodysplasia of intestine (without mention of hemorrhage)	digestive
557	Intestinal malabsorption (non-celiac)	digestive
557.1	Celiac disease	digestive
558	Noninfectious gastroenteritis	digestive
559	Ileostomy status	digestive
560	Intestinal obstruction without mention of hernia	digestive
560.1	Paralytic ileus	digestive
560.2	Impaction of intestine	digestive
560.3	Peritoneal or intestinal adhesions	digestive
560.4	Other intestinal obstruction	digestive
561	Symptoms involving digestive system	digestive
561.1	Diarrhea	digestive
561.2	Flatulence	digestive
562	Diverticulosis and diverticulitis	digestive
562.1	Diverticulosis	digestive
562.2	Diverticulitis	digestive
563	Constipation	digestive
564	Functional digestive disorders	digestive
564.1	Irritable Bowel Syndrome	digestive
564.8	Abnormal findings on exam of gastrointestinal tract/ abdominal area	digestive
564.9	Personal history of diseases of digestive system	digestive
565	Anal and rectal conditions	digestive
565.1	Anal and rectal polyp	digestive
567	Peritonitis and retroperitoneal infections	digestive
568	Other disorders of peritoneum	digestive
568.1	Peritoneal adhesions (postoperative) (postinfection)	digestive
569	Other disorders of intestine	digestive
569.1	Toxic gastroenteritis and colitis	digestive
569.2	Gastrointestinal complications	digestive
571	Chronic liver disease and cirrhosis	digestive
571.5	Other chronic nonalcoholic liver disease	digestive
571.51	Cirrhosis of liver without mention of alcohol	digestive
571.6	Primary biliary cirrhosis	digestive
571.8	Liver abscess and sequelae of chronic liver disease	digestive
571.81	Portal hypertension	digestive
572	Ascites (non malignant)	digestive
573	Other disorders of liver	digestive
573.1	Chronic passive congestion of liver	digestive
573.2	Liver replaced by transplant	digestive
573.3	Hepatomegaly	digestive
573.4	Acute and subacute necrosis of liver	digestive
573.5	Jaundice (not of newborn)	digestive
573.6	Nonspecific elevation of levels of transaminase or lactic acid dehydrogenase [LDH]	digestive
573.7	Abnormal results of function study of liver	digestive
573.9	Abnormal serum enzyme levels	digestive
574	Cholelithiasis and cholecystitis	digestive
574.1	Cholelithiasis	digestive
574.11	Cholelithiasis with acute cholecystitis	digestive
574.12	Cholelithiasis with other cholecystitis	digestive
574.2	Calculus of bile duct	digestive
574.3	Cholecystitis without cholelithiasis	digestive
575	Other biliary tract disease	digestive
575.1	Cholangitis	digestive
575.2	Obstruction of bile duct	digestive
575.6	Cholesterolosis of gallbladder	digestive
575.7	Other disorders of gallbladder	digestive
575.8	Other disorders of biliary tract	digestive
575.9	Nonspecific abnormal findings on radiological and other examination of biliary tract	digestive
577	Diseases of pancreas	digestive
577.1	Acute pancreatitis	digestive
577.2	Chronic pancreatitis	digestive
577.3	Cyst and pseudocyst of pancreas	digestive
578	Gastrointestinal hemorrhage	digestive
578.1	Hematemesis	digestive
578.2	Blood in stool	digestive
578.8	Hemorrhage of rectum and anus	digestive
578.9	Hemorrhage of gastrointestinal tract	digestive
579	Other symptoms involving abdomen and pelvis	digestive
579.2	Splenomegaly	digestive
579.8	Nonspecific abnormal findings in stool contents	digestive
580	Nephritis; nephrosis; renal sclerosis	genitourinary
580.1	Glomerulonephritis	genitourinary
580.11	Proliferative glomerulonephritis	genitourinary
580.12	Non-proliferative glomerulonephritis	genitourinary
580.13	"Acute glomerulonephritis, NOS"	genitourinary
580.14	"Chronic glomerulonephritis, NOS"	genitourinary
580.2	Nephrotic syndrome without mention of glomerulonephritis	genitourinary
580.3	Nephritis and nephropathy without mention of glomerulonephritis	genitourinary
580.31	Nephritis and nephropathy in diseases classified elsewhere	genitourinary
580.32	Nephritis and nephropathy with pathological lesion	genitourinary
580.4	"Renal sclerosis, NOS"	genitourinary
585	Renal failure	genitourinary
585.1	Acute renal failure	genitourinary
585.2	Renal failure NOS	genitourinary
585.3	Chronic renal failure [CKD]	genitourinary
585.31	Renal dialysis	genitourinary
585.32	End stage renal disease	genitourinary
585.33	"Chronic Kidney Disease, Stage III"	genitourinary
585.34	"Chronic Kidney Disease, Stage IV"	genitourinary
585.4	"Chronic kidney disease, Stage I or II"	genitourinary
586	Other disorders of the kidney and ureters	genitourinary
586.1	Anatomical abnormatilies of kidney and ureters	genitourinary
586.11	Small kidney	genitourinary
586.12	Vesicoureteral reflux	genitourinary
586.2	"Cyst of kidney, acquired"	genitourinary
586.3	Vascular disorders of kidney/hypertrophy	genitourinary
586.4	Stricture/obstruction of ureter	genitourinary
587	Kidney replaced by transpant	genitourinary
588	Disorders resulting from impaired renal function	genitourinary
588.1	Renal osteodystrophy	genitourinary
588.2	Secondary hyperparathyroidism (of renal origin)	genitourinary
589	Abnormal results of function study of kidney	genitourinary
590	Pyelonephritis	genitourinary
591	Urinary tract infection	genitourinary
592	Cystitis and urethritis	genitourinary
592.1	Cystitis	genitourinary
592.11	Acute cystitis	genitourinary
592.12	Chronic cystitis	genitourinary
592.13	Chronic interstitial cystitis	genitourinary
592.2	Urethritis and urethral syndrome	genitourinary
592.21	Urethral syndrome	genitourinary
592.3	Urethral stricture due to infecton	genitourinary
593	Hematuria	genitourinary
593.1	Gross hematuria	genitourinary
593.2	Microscopic hematuria	genitourinary
594	Urinary calculus	genitourinary
594.1	Calculus of kidney	genitourinary
594.2	Calculus of lower urinary tract	genitourinary
594.3	Calculus of ureter	genitourinary
594.8	Renal colic	genitourinary
595	Hydronephrosis	genitourinary
596	Other disorders of bladder	genitourinary
596.1	Bladder neck obstruction	genitourinary
596.5	Functional disorders of bladder	genitourinary
597	Other disorders of urethra and urinary tract	genitourinary
597.1	Urethral stricture (not specified as infectious)	genitourinary
597.2	Urinary complications NEC	genitourinary
597.8	Urethral hypermobility/ISD	genitourinary
598	Abnormal findings on examination of urine	genitourinary
598.4	Other cells and casts in urine	genitourinary
598.9	Other nonspecific findings on examination of urine	genitourinary
599	Other symptoms/disorders or the urinary system	genitourinary
599.1	Urinary obstruction	genitourinary
599.2	Retention of urine	genitourinary
599.3	Dysuria	genitourinary
599.4	Urinary incontinence	genitourinary
599.5	Frequency of urination and polyuria	genitourinary
599.6	Oliguria and anuria	genitourinary
599.7	Urethral discharge	genitourinary
599.8	Other symptoms involving urinary system	genitourinary
599.9	Other abnormality of urination	genitourinary
600	Hyperplasia of prostate	genitourinary
601	Inflammatory diseases of prostate	genitourinary
601.1	Prostatitis	genitourinary
601.11	Acute prostatitis	genitourinary
601.12	Chronic prostatitis	genitourinary
601.3	Orchitis and epididymitis	genitourinary
601.4	Balanoposthitis	genitourinary
601.8	Other inflammatory disorders of male genital organs	genitourinary
602	Other disorders of prostate	genitourinary
602.3	Dysplasia of prostate	genitourinary
603	Other disorders of testis	genitourinary
603.1	Hydrocele	genitourinary
